Date,Open,High,Low,Close,Adj Close,Volume
2017-03-28,81.330002,81.610001,80.570000,81.489998,63.311134,4232100
2017-03-29,81.459999,81.959999,81.209999,81.949997,63.668510,3123200
2017-03-30,81.820000,82.230003,81.279999,82.099998,63.785049,4593300
2017-03-31,82.129997,82.889999,81.989998,82.589996,64.165749,7167900
2017-04-03,82.360001,82.989998,82.320000,82.830002,64.352219,7469000
2017-04-04,82.709999,83.370003,82.599998,82.830002,64.352219,5359300
2017-04-05,82.910004,83.410004,82.820000,82.949997,64.445473,4738600
2017-04-06,82.769997,83.540001,82.430000,83.389999,64.787285,4711500
2017-04-07,83.589996,83.879997,83.269997,83.510002,64.880501,4483800
2017-04-10,83.559998,84.160004,83.360001,84.029999,65.284500,2547800
2017-04-11,84.059998,84.769997,83.940002,84.610001,65.735123,3864200
2017-04-12,84.580002,84.900002,84.309998,84.459999,65.618584,3526900
2017-04-13,84.430000,84.650002,84.160004,84.269997,65.470970,2759500
2017-04-17,84.400002,85.309998,84.309998,85.290001,66.263428,3875000
2017-04-18,85.220001,85.599998,85.160004,85.519997,66.442101,2807300
2017-04-19,85.449997,85.720001,85.250000,85.400002,66.348885,3622900
2017-04-20,85.239998,85.470001,84.800003,85.410004,66.356674,3109100
2017-04-21,85.360001,85.459999,84.959999,85.099998,66.115791,3261900
2017-04-24,85.500000,85.550003,83.389999,84.160004,65.385521,6595300
2017-04-25,84.160004,84.639999,84.019997,84.510002,65.657440,3412300
2017-04-26,84.449997,84.620003,83.669998,83.879997,65.167961,4185400
2017-04-27,84.010002,84.209999,83.500000,83.660004,64.997055,4822200
2017-04-28,83.440002,83.570000,82.489998,82.790001,64.321121,5983700
2017-05-01,83.150002,83.529999,82.459999,83.279999,64.701805,6003600
2017-05-02,83.379997,83.589996,82.830002,83.139999,64.593048,4930000
2017-05-03,83.099998,83.199997,81.760002,82.029999,63.730694,6207500
2017-05-04,81.519997,81.760002,80.699997,81.629997,63.419918,8025100
2017-05-05,81.809998,82.400002,81.769997,82.400002,64.018127,5458100
2017-05-08,82.580002,82.580002,81.360001,81.820000,63.567513,3940600
2017-05-09,81.809998,81.919998,81.059998,81.379997,63.225677,5790900
2017-05-10,81.370003,82.300003,81.169998,82.019997,63.722912,3801400
2017-05-11,81.720001,81.849998,80.900002,81.610001,63.404366,3542600
2017-05-12,81.610001,81.779999,81.209999,81.279999,63.147995,3115400
2017-05-15,81.349998,82.220001,81.300003,81.519997,63.334438,3263900
2017-05-16,81.519997,81.690002,80.709999,80.970001,62.907135,4338600
2017-05-17,80.919998,81.610001,80.750000,81.300003,63.163517,7243700
2017-05-18,81.169998,81.959999,80.730003,81.750000,63.513130,4128200
2017-05-19,81.690002,82.680000,81.349998,82.190002,63.854980,6390100
2017-05-22,82.220001,82.800003,82.160004,82.510002,64.103607,3433700
2017-05-23,82.680000,82.989998,82.529999,82.580002,64.157982,2960100
2017-05-24,82.690002,83.300003,82.650002,83.250000,64.678520,2578500
2017-05-25,83.389999,83.650002,83.080002,83.260002,64.686287,3146900
2017-05-26,83.230003,83.330002,82.400002,82.660004,64.220123,3046100
2017-05-30,82.650002,82.820000,82.139999,82.139999,63.816147,1865200
